Gender,calories_scone,comfort_food,comfort_food_reasons,weight,,,,,
1,420,"watermelon, grapes, ice cream","sadness, boredom",125,,,,,
1,420,"macaroni , stuffed peppers, hamburgers, french fries","boredom, stressed",160,,,,,
1,420,"pizza, mashed potatoes, spaghetti","anger, sadness",135,,,,,
1,420,"dark chocolate, terra chips",anger,130,,,,,
1,420,"chips, chocolate, ,mozzarella sticks ","boredom, sadness",230,,,,,
1,420,"icecream, chips,","boredom, anger",125,,,,,
1,315,"pizza, soda, chocolate brownie, chicken tikka masala , butter naan ","stressed , sadness",130,,,,,
1,420,"chocolate, pasta, cookies",stressed,165,,,,,
1,420,"salty snacks, toast","stressed, sadness, boredom",128,,,,,
1,420,"pizza, mozzarella sticks ",stressed,200,,,,,
1,315,"icecream, pizza, chocolate",sadness,160,,,,,
2,980,"snacks, chips",boredom,170,,,,,
1,315,"chocolate, icecream, pizza","sadness, happiness , boredom",129,,,,,
1,420,"icecream, pizza, chinese food ","boredom , sadness",170,,,,,
2,315,burgers,"sadness, happiness",138,,,,,
2,980,"chocolate bar, ice cream, pretzels, potato chips , protein bars.","stressed, boredom",150,,,,,
1,420,"icecream, chocolate, pizza, cucumber ",boredom ,170,,,,,
1,315,noodles,tired ,113,,,,,
1,420,"chinese, chips, cake","stressed , boredom ",140,,,,,
2,420,"chips, rice, chicken curry,","happiness, boredom",185,,,,,
1,420,"wine, pizza, ice cream ","boredom , sadness ",156,,,,,
1,315,"pizza, cheesecake",sadness,180,,,,,
1,420,"rice, potato, seaweed soup",sadness,120,,,,,
2,420,"lasagna, pizza",happiness,135,,,,,
1,315,"chocolates, pizza",hormones,135,,,,,
